"","intervention","n_missing","pct_missing","auc","Min","1st percentile","5th percentile","10th percentile","25th percentile","50th percentile","75th percentile","90th percentile","95th percentile","99th percentile","Max"
"1",1,100,0.2037,0.573,0.9004,0.9036,0.9165,0.9256,0.9469,0.9845,1.0331,1.0964,1.157,1.2239,1.298
"2",2,101,0.2032,0.5804,0.9033,0.9055,0.9185,0.9251,0.9448,0.979,1.0309,1.1059,1.1561,1.2452,1.3966
"3",3,95,0.1904,0.6537,0.8845,0.8868,0.8976,0.9069,0.9303,0.9743,1.0486,1.1256,1.1898,1.2529,1.2851
"4",4,106,0.2129,0.5804,0.9012,0.9119,0.9206,0.9275,0.9466,0.9796,1.0286,1.1008,1.1537,1.3066,1.4381
"5",5,97,0.1921,0.4829,0.9575,0.9638,0.9673,0.9732,0.9812,0.9965,1.0149,1.0323,1.0438,1.0699,1.0901
"6",6,129,0.257,0.5625,0.903,0.913,0.9301,0.9392,0.9587,0.9898,1.0226,1.0711,1.1179,1.2295,1.2879
"7",7,100,0.2,0.6119,0.9134,0.9166,0.9276,0.9338,0.9535,0.9849,1.0245,1.0816,1.1284,1.237,1.4188
"8",8,106,0.2116,0.5912,0.9136,0.916,0.9266,0.9346,0.9503,0.9829,1.02,1.1037,1.1455,1.237,1.328
"9",9,107,0.2157,0.5327,0.9177,0.921,0.9289,0.9374,0.9596,0.9877,1.0325,1.0743,1.0954,1.195,1.2432
"10",10,120,0.2372,0.5613,0.9258,0.9309,0.9403,0.9479,0.9666,0.9887,1.0237,1.0705,1.0967,1.147,1.1898
"11",11,102,0.2024,0.6025,0.9018,0.9064,0.9202,0.9278,0.9471,0.9857,1.0308,1.0938,1.1379,1.239,1.3025
"12",12,89,0.1773,0.5922,0.9161,0.9259,0.9348,0.9421,0.9544,0.9889,1.0315,1.0797,1.1129,1.1923,1.2484
"13",13,296,0.1968,0.6535,0.8585,0.8753,0.8896,0.8983,0.9233,0.9723,1.0429,1.1351,1.2205,1.3978,1.6909
