"ssi","b","se","t","p_raw","p_fdr"
"6. Interactive Cognitive Reappraisal",0.704547614551453,0.307862871067777,2.28851115468336,0.0221427064943857,0.212851623478694
"8. Mindful Attention Skills",0.633626489828998,0.301243321657557,2.10337107671812,0.0354752705797823,0.212851623478694
"7. Mindful Acceptance",0.482082161054023,0.29987803044787,1.607594128633,0.107977220012251,0.431908880049006
"10. Personalized Intervention Recommender",0.432314274570323,0.303876592579942,1.42266395348168,0.15488608012877,0.432884621535315
"4. Dialectical Behavioral Therapy Skills",0.404760289363416,0.302109854887315,1.33977850379753,0.180368592306381,0.432884621535315
"9. Moral Elevation",0.314528866876185,0.302991970924494,1.03807657317284,0.299276639784851,0.538755804967468
"2. AI-assisted Personalized Narrative",0.294829512788209,0.300974958117859,0.979581539380948,0.32733259511035,0.538755804967468
"3. Behavioral Activation",0.273973188577899,0.298765406926767,0.917017774568041,0.359170536644979,0.538755804967468
"1. 5 Habits to Beat Depression",0.249912636793842,0.302420978774538,0.826373348193406,0.408625511634032,0.544834015512043
"12. Savoring Strategies",0.131659150602733,0.296253623668681,0.44441363778887,0.656759737540387,0.788111685048465
"11. Reframing Negative Thoughts",0.0471019429397109,0.29927762018466,0.15738545004016,0.874946426332658,0.954487010544718
"5. Inner Child Healing Walk",0.0139449012144265,0.297605718225766,0.0468569666522595,0.962628800432298,0.962628800432298
