"No.","SSI","Target","Cluster 1","Cluster 2","Cluster 3","Cluster 4"
1,"5 Habits to Beat Depression","Cluster 1",0.9,0.17,-1.05,-0.08
2,"AI-assisted Personalized Narrative","",-0.06,0.59,-0.64,0.06
3,"Behavioral Activation","",-0.13,0.44,-0.8,0.32
4,"Dialectical Behavioral Therapy Skills","",-0.15,0.25,0.06,-0.1
5,"Inner Child Healing Walk","Cluster 1",0.46,0.1,-1.21,0.38
6,"Interactive Cognitive Reappraisal","",-0.56,0.56,0.25,-0.13
7,"Mindful Acceptance","Cluster 1",0.47,0.17,-0.6,-0.07
8,"Mindful Attention Skills","Cluster 1",0.77,-0.07,-1.1,0.2
9,"Moral Elevation","Cluster 1",0.51,0.5,-0.75,-0.22
10,"Personalized Intervention Recommender","Cluster 3",0,0.1,0.46,-0.36
11,"Reframing Negative Thoughts","",-0.6,0.36,0.08,0.15
12,"Savoring Strategies","Cluster 3",-0.99,0,0.88,0.15
