"term","estimate","penalty","abs_est"
"FATS",-2.0610510220316,0.00194149194574388,2.0610510220316
"Baseline PHQ-9 (reverse scored)",-0.938477950253036,0.00194149194574388,0.938477950253036
"Age",0.62894793451787,0.00194149194574388,0.62894793451787
"Agency — State Hope Scale",-0.618121730227959,0.00194149194574388,0.618121730227959
"Depression change expectancies — DCES",-0.600744329755251,0.00194149194574388,0.600744329755251
"Hopelessness — BHS-4",0.479447456371504,0.00194149194574388,0.479447456371504
"Household income (ordered)",-0.428432159617934,0.00194149194574388,0.428432159617934
"MacArthur Social Ladder",-0.343313566316782,0.00194149194574388,0.343313566316782
"Prior mental health app use",-0.187047071532684,0.00194149194574388,0.187047071532684
"Prior online mental health resource use",-0.137877382783792,0.00194149194574388,0.137877382783792
"Employment: Student",-0.136097717598608,0.00194149194574388,0.136097717598608
"Political Party: Independent",0.127074878762962,0.00194149194574388,0.127074878762962
"Race: White",0.112146223436193,0.00194149194574388,0.112146223436193
"Prior help: Support group",0.110301332531622,0.00194149194574388,0.110301332531622
"Prior help: Phone/text line",-0.0998165539719952,0.00194149194574388,0.0998165539719952
"Education (ordered)",0.0795314570882016,0.00194149194574388,0.0795314570882016
"Readiness to change",-0.0502470126688526,0.00194149194574388,0.0502470126688526
"Recruitment platform: Prolific",-0.0278279426738335,0.00194149194574388,0.0278279426738335
"Race: Black",0.0230917507288148,0.00194149194574388,0.0230917507288148
"Prior help: No formal support",-0.0153236613116842,0.00194149194574388,0.0153236613116842
"FFMQ — Non-reactivity to distressing thoughts",-0.012668379666666,0.00194149194574388,0.012668379666666
"Employment: Full-time",0.00784637290950906,0.00194149194574388,0.00784637290950906
"Ethnicity: Not Hispanic/Latino",0.00424477897303413,0.00194149194574388,0.00424477897303413
"Political Party: Republican",-0.000182597712818221,0.00194149194574388,0.000182597712818221
