"Characteristic","Other_C1","Target_C1","Other_C3","Target_C3"
"Clinician Created","4 (57%)","2 (40%)","5 (50%)","1 (50%)"
"Links to Resources","3 (43%)","1 (20%)","2 (20%)","2 (100%)"
"Meditation Practice","2 (29%)","2 (40%)","3 (30%)","1 (50%)"
"References Depression","5 (71%)","3 (60%)","6 (60%)","2 (100%)"
"Take-Home Reminder","3 (43%)","2 (40%)","3 (30%)","2 (100%)"
"Video/Audio","2 (29%)","5 (100%)","7 (70%)","0 (0%)"
"Behavioral Activation","2.00 (1.41)","3.00 (1.87)","2.60 (1.71)","1.50 (0.71)"
"Cognitive Reframing","3.00 (1.73)","2.40 (1.52)","3.10 (1.52)","1.00 (0.00)"
"Effortful","2.71 (0.76)","2.00 (1.00)","2.40 (0.97)","2.50 (0.71)"
"Engagingness","2.86 (0.69)","3.80 (0.84)","3.30 (0.95)","3.00 (0.00)"
"Interactive Activities","2.86 (1.21)","2.80 (1.30)","2.80 (1.23)","3.00 (1.41)"
"Mindfulness","2.00 (1.29)","3.40 (1.82)","2.70 (1.70)","2.00 (1.41)"
"Personalization","3.71 (1.38)","1.00 (0.00)","2.20 (1.62)","4.50 (0.71)"
