"Variable","Baseline (initial randomized sample)","Weighted follow-up","Weighted within-arm range"
"Age, M (SD)","36.6 (11.8)","36.9 (11.8)","35.5-38.4"
"Gender, %","","",""
"    Woman","59.0","59.6","55.8-63.2"
"    Man","36.1","35.6","31.8-38.2"
"    Non-binary or other gender identity","4.6","4.5","2.8-5.8"
"Race, %","","",""
"    White","73.9","74.1","71.0-77.2"
"    Black or African American","14.0","13.4","11.5-14.8"
"    Asian","5.6","5.8","3.7-7.6"
"    American Indian, Alaska Native, or Pacific Islander","1.3","1.3","0.3-1.8"
"    Other","4.3","4.5","3.2-6.9"
"    Prefer not to say","0.9","0.9","0.5-1.9"
"Hispanic or Latino, %","10.9","11.0","7.5-14.4"
"Education, %","","",""
"    Less than high school","1.1","1.1","0.5-1.9"
"    High school graduate or GED","13.9","14.1","11.3-16.6"
"    Some post-secondary","36.4","36.6","33.3-40.7"
"    College graduate","48.6","48.2","45.4-52.9"
"Household income (USD), %","","",""
"    Less than 40,000","30.6","31.4","26.7-35.8"
"    40,000 to 79,999","32.4","32.5","27.7-36.1"
"    80,000 to 99,999","10.4","9.9","7.1-12.2"
"    100,000 or more","22.9","22.7","19.7-25.9"
"    Prefer not to say","0.0","0.0","0.0-0.0"
"MacArthur Social Ladder (1-10), M (SD)","4.4 (1.7)","4.3 (1.7)","4.2-4.5"
"Employment status, %","","",""
"    Full-time employed","47.5","46.8","44.3-52.2"
"    Part-time employed","17.2","17.0","13.1-19.6"
"    Unemployed","11.0","11.3","8.2-15.8"
"    Not in paid work","8.8","9.6","7.8-11.1"
"    Student","7.4","7.2","6.0-9.5"
"    Other or prefer not to say","8.0","8.1","5.6-11.9"
"Disability or chronic condition, %","44.4","44.9","41.3-47.7"
"Prior mental health app use, %","15.3","14.9","13.0-18.0"
"Prior online mental health resource use, %","10.9","10.6","8.6-12.1"
"Baseline PHQ-9, M (SD)","15.4 (4.6)","15.4 (4.6)","15.0-15.8"
"FATS, M (SD)","17.4 (9.0)","17.2 (8.9)","16.0-18.0"
"Agency (State Hope Scale), M (SD)","14.4 (4.5)","14.3 (4.5)","13.8-14.8"
"Hopelessness (BHS-4), M (SD)","7.1 (2.7)","7.1 (2.7)","6.8-7.5"
"Depression change expectancies (DCES), M (SD)","8.7 (2.3)","8.7 (2.3)","8.5-9.0"
"n","7,505","5,957","373-1208"
