"Metric","b","SE","t","p"
"Cluster 1 (primary) (n = 1516; target SSIs: 1, 5, 7, 8, 9)",NA,NA,NA,NA
"    Any SSI vs. control",0.68,0.34,1.98,".048"
"    Target SSI (incremental)",0.67,0.31,2.14,".032"
"    Model fit improvement: ΔF(1, 1512) = 4.60",NA,NA,NA,".032"
"    Target SSIs vs. control",1.08,0.39,2.77,".016"
"    Other SSIs vs. control",0.41,0.36,1.14,".492"
"    Target SSIs vs. other SSIs",0.67,0.31,2.14,".082"
"Cluster 2 (exploratory) (n = 1155; target SSIs: 2, 3, 6, 9, 11)",NA,NA,NA,NA
"    Any SSI vs. control",0.48,0.38,1.25,".212"
"    Target SSI (incremental)",0.38,0.37,1.04,".298"
"    Model fit improvement: ΔF(1, 1151) = 1.09",NA,NA,NA,".298"
"    Target SSIs vs. control",0.71,0.44,1.6,".245"
"    Other SSIs vs. control",0.32,0.41,0.79,".709"
"    Target SSIs vs. other SSIs",0.38,0.37,1.04,".551"
"Cluster 3 (primary) (n = 1096; target SSIs: 10, 12)",NA,NA,NA,NA
"    Any SSI vs. control",-0.11,0.42,-0.27,".784"
"    Target SSI (incremental)",1.46,0.49,3.01,".003"
"    Model fit improvement: ΔF(1, 1092) = 9.03",NA,NA,NA,".003"
"    Target SSIs vs. control",1.08,0.58,1.87,".148"
"    Other SSIs vs. control",-0.39,0.43,-0.91,".635"
"    Target SSIs vs. other SSIs",1.46,0.49,3.01,".008"
"Cluster 4 (exploratory) (n = 2190; target SSIs: 3, 5)",NA,NA,NA,NA
"    Any SSI vs. control",0.28,0.25,1.11,".266"
"    Target SSI (incremental)",-0.16,0.29,-0.54,".592"
"    Model fit improvement: ΔF(1, 2186) = 0.29",NA,NA,NA,".592"
"    Target SSIs vs. control",0.14,0.35,0.41,".910"
"    Other SSIs vs. control",0.3,0.25,1.19,".457"
"    Target SSIs vs. other SSIs",-0.16,0.29,-0.54,".854"
